Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,8492.213259997035,8718.154906701757,1721.8522413221947,5495.635499663673,1731.0818588391533,2899.2361675613893,1971.065351706327,5038.271395847948,7225.668524337555,6625.1499603970115,5507.685952376294,3082.4879827803798,2992.9108156710054,6913.752934230571,2157.1741858513333
64,1967.2236172139455,6444.09473932503,7563.990870400552,1989.3096506623533,7548.3140400369575,2030.1210580660238,1943.2615562214164,2244.4968760424044,6335.37662213644,4968.264332183719,5441.836834920687,5218.293277223889,3128.53893098743,4251.382477279533,9497.836154583252
128,5497.970282421944,8198.879641470618,7691.307589516564,1760.1486029949037,7807.802623468731,2030.7469387670342,5438.577543631556,3056.786100369926,2033.4369966985626,4117.462254783943,8084.802051908896,8835.472719188936,1760.387380313921,2442.3152944564354,1816.245017291661
160,2700.7663620807934,6777.898703249339,2489.174860651466,1578.1586904855699,3831.4278829212835,9603.542874212892,2179.680959204251,2335.8051496772555,2182.918009589724,6887.8793915641945,4446.053920815031,7757.696039956972,10521.24743906693,1663.5733952260834,5616.517358581849
192,2012.5856810350467,7223.835884921293,1642.4025931345066,3590.797543468381,1660.8661521457182,2833.0486241742733,2470.93873487692,9767.42428042506,8308.817060778687,1550.5383925909118,6018.976068490827,11832.927984589682,2165.0686417638653,2677.3659017446785,6816.747493143785
224,2567.2525934881846,6553.026058933643,1621.4836007862677,11031.378762052724,2082.494277952795,3048.3633978330977,3038.4554747960497,7893.375875268855,4016.957163423578,1355.5895603311935,6735.60418890069,3012.7912879055775,1832.924040812175,9896.017733067994,5886.627021730806
256,3188.652452505993,6741.315572441925,2257.71355512585,3399.2131508964985,3386.3421197921302,2012.9492503068682,2989.670367218268,11236.704984670865,6451.952861088994,1623.8598523611195,1545.1783990666179,8742.417800006364,4402.108585302632,5786.845401004678,6807.416685494834
288,3360.5345691495827,6532.646021921862,2416.0109362457533,4335.011118786772,5173.387379833259,2948.2986830809105,10730.531123953147,3168.7695326873672,2364.6883240070947,1648.7268352512808,3419.98283567489,6009.491423161719,1607.648608586708,6911.6898042237535,9944.92384071954
352,3363.5240594057154,6084.344466474603,6217.257856299035,4820.391938366809,9671.756467559217,1167.5626052156435,7630.983140930799,10015.909991835688,3273.7576498449116,2319.3119489970913,2983.9979453533597,4453.227701331563,2295.546029194443,2571.970792465001,3702.7984440097534
416,2964.2986241953195,10972.016271088212,13604.820083725988,6082.215539183293,2675.5417919480124,5435.1369041085745,6370.346588053282,1618.6360208697306,4851.280998156347,2570.1946619868177,1513.0758213747267,2167.3879420580806,2537.737040324369,4498.950100335896,2710.7026498749788
448,3485.1928364318655,11315.127294840939,13482.310887177533,2119.7787401833248,2577.2712816577287,6426.895756631751,6751.6828659339735,2199.666708340005,3419.389737403128,5974.131899121093,1234.0820809169115,2491.7831187125553,1807.2987016995087,1523.4599088933733,5764.26921933994
