Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4720.714581504343,4720.71458150434,4164.177370506375,2133.4355616084613,-4263.560374521487,-3951.0795097121445,-2169.6936633612186,-3267.927711291881,-3676.969724655533,7773.714053789627,-4078.1757534469634,-4145.219142269602,-2971.951801954892,8286.701366440368,-1820.8236966445684,-2819.31348682077,10806.686512334218
63,4720.714581504343,4720.71458150434,-3962.303930477573,-2510.6780614932086,8933.0091979639,1637.3072564103031,-4192.365365296405,4083.144058350257,-3112.686030421233,-2147.1220939815876,-2756.5837893757507,8457.568135242564,10419.717223879705,-4019.7429469785666,-3221.2362211202044,-3984.240924072928,-3623.7865086292722
94,4720.714581504343,4720.71458150434,-3902.378688461244,-2637.8405813327668,9262.40114050599,1917.1513826731225,-4195.263305610801,3667.2318834227563,-3172.2806922934974,-2210.89445254676,-2770.940698395379,8293.945542692309,10452.818933967086,-3942.233299853946,-3254.0300302448195,-3910.6190514231607,-3597.0680830988886
125,4720.714581504343,4720.71458150434,-3801.091705157882,-3850.381775615477,-2784.5682963699523,9711.707304540701,-4199.84021424164,-3275.5756691562,-2352.946143614947,-2599.137022249189,8332.503655133858,10197.05902762015,-3550.7437648538953,-3979.4428979928525,3317.3365488899617,-3252.4457089120306,2087.5666619793874
156,4720.714581504343,4720.71458150434,3092.093233222422,-3562.07468101072,-4212.164124107824,10061.340610015042,2128.0754208511826,-3789.4150609774333,-3273.195268921606,-2885.5221937417414,-3754.709712873455,-3986.335746128065,-3315.470323825571,-2463.4082598364107,-2343.812463705075,8296.881294134042,10007.717276905201
187,4720.714581504343,4720.71458150434,2979.0037061854,-3633.184039886123,-2568.1869473460247,9769.602677391584,-4193.155430197417,10339.61005850063,-3318.3301215469673,8302.396845935755,2092.367129526967,-2047.7972204249622,-3757.3661052672155,-3293.1235314735104,-2948.9381952981607,-3709.8788504973504,-4013.019975602615
218,4720.714581504343,4720.71458150434,3230.93897649011,-3712.077984991212,-2657.4692378627146,9547.31897783852,-4195.79305823727,10630.646472274115,-3264.0879467248087,8321.50866204455,1630.6776916575864,-1720.7082458565628,-3782.884137109813,-3331.6928661372513,-2980.451973461816,-3689.7740150276877,-4026.15131489572
249,4720.714581504343,4720.71458150434,-4169.150675516952,-3185.416270300666,-2709.6029614356585,-1450.298932203284,8342.533813188758,9453.006395569977,-3810.1779307452,3605.442858256468,1024.3448423072186,-3368.289418674901,-3704.6371856958067,-2946.0263737019186,-3813.5504757624185,10785.930934841843,-4054.1086201274593
280,4720.714581504343,4720.71458150434,576.4103311221425,-4163.973085541825,3888.942437728375,-3157.1189132195004,-2796.9141897562877,-1134.3343940266705,8303.144773834982,9407.526050238532,-4074.232673036922,-3415.5699974309623,-3855.4623893211833,-3713.9041521194295,-2920.2214370832526,-3861.6876752782955,10917.395313890298
311,4720.714581504343,4720.71458150434,-863.5274182388653,8226.676140872261,-2850.7116919747496,-3091.4208214750483,9333.298161486282,-3855.955863800402,3996.089757215668,-4109.399953913722,287.9164167532317,-2879.9698921904624,11049.563200186027,-4118.361869097184,-3762.825618547151,-3419.490272820057,-3941.880274455827
