Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4704.822735818907,4704.822735818909,3787.3905241781276,4013.332170882849,-2982.9704944967134,790.812763844765,-2973.740876979755,-1805.5865682575186,-2733.757384112581,333.4486600290402,2520.845788518647,1920.3272245781036,802.8632165573863,-1622.334753038528,-1711.9119201479025,2208.930198411663,-2547.6485499675746
64,4704.822735818907,4704.822735818909,-2737.5991186049623,1739.272003506122,2859.168134581644,-2715.5130851565546,2843.4913042180497,-2674.7016777528843,-2761.5611795974914,-2460.3258597765034,1630.5538863175325,263.4415963648107,737.0140991017788,513.4705414049813,-1576.283804831478,-453.44025853937455,4793.013418764344
128,4704.822735818907,4704.822735818909,793.1475466030361,3494.0569056517097,2986.484853697656,-2944.674132824004,3102.9798876498235,-2674.0757970518735,733.7548078126483,-1648.036635448982,-2671.3857391203455,-587.3604810349652,3379.979316089988,4130.649983370028,-2944.4353555049865,-2262.5074413624725,-2888.577718527247
160,4704.822735818907,4704.822735818909,-2004.0563737381153,2073.07596743043,-2215.6478751674426,-3126.664045333339,-873.3948528976252,4898.720138393983,-2525.141776614658,-2369.0175861416533,-2521.9047262291847,2183.0566557452858,-258.76881500387753,3052.873304138063,5816.424703248022,-3041.2493405928253,911.6946227629405
192,4704.822735818907,4704.822735818909,-2692.237054783862,2519.013149102384,-3062.420142684402,-1114.025192350528,-3043.956583673191,-1871.7741116446355,-2233.8840009419887,5062.601544606152,3603.994324959778,-3154.284343227997,1314.1533326719182,7128.105248770773,-2539.7540940550434,-2027.4568340742303,2111.924757324876
224,4704.822735818907,4704.822735818909,-2137.570142330724,1848.2033231147343,-3083.339135032641,6326.556026233815,-2622.3284578661137,-1656.459337985811,-1666.367261022859,3188.5531394499467,-687.8655723953307,-3349.233175487715,2030.7814530817814,-1692.0314479133312,-2871.8986950067338,5191.194997249086,1181.8042859118968
256,4704.822735818907,4704.822735818909,-1516.1702833129157,2036.492836623016,-2447.109180693059,-1305.6095849224102,-1318.4806160267785,-2691.8734855120406,-1715.1523686006408,6531.882248851956,1747.130125270085,-3080.9628834577893,-3159.6443367522907,4037.595064187455,-302.7141505162772,1082.0226651857693,2102.5939496759256
288,4704.822735818907,4704.822735818909,-1344.288166669327,1827.823286102952,-2288.8117995731563,-369.8116170321373,468.56464401434914,-1756.5240527379992,6025.708388134238,-1536.0532031315424,-2340.134411811815,-3056.0959005676286,-1284.8399001440198,1304.6686873428089,-3097.1741272322015,2206.867068404844,5240.101104900631
352,4704.822735818907,4704.822735818909,-1341.2986764131933,1379.5217306556942,1512.435120480126,115.5692025479002,4966.933731740308,-3537.260130603265,2926.16040511189,5311.087256016779,-1431.0650859739972,-2385.5107868218174,-1720.824790465549,-251.5950344873454,-2409.276706624466,-2132.8519433539077,-1002.0242918091553
416,4704.822735818907,4704.822735818909,-1740.5241116235884,6267.193535269304,8899.99734790708,1377.3928033643851,-2029.2809438708955,730.3141682896667,1665.5238522343743,-3086.1867149491773,146.458262337439,-2134.62807383209,-3191.746914444181,-2537.4347937608272,-2167.085695494539,-205.87263548301144,-1994.120085943929
448,4704.822735818907,4704.822735818909,-1219.6298993870432,6610.30455902203,8777.488151358624,-2585.043995635584,-2127.55145416118,1722.0730208128425,2046.8601301150647,-2505.156027478904,-1285.4329984157807,1269.309163302184,-3470.740654901997,-2213.0396171063535,-2897.5240341194003,-3181.3628269255355,1059.446483521031
544,4704.822735818907,4704.822735818909,197.1410261456749,7633.9010211604045,6752.963335740479,3807.1728032280616,-1387.9437743778917,820.0907989930129,-2603.6670376643724,-1921.0133913947493,-1465.0077261435272,-1756.9863445436486,573.0679273901706,-1616.6059740599057,-2724.3964379853237,-3426.7183343737724,-2881.997892114593
608,4704.822735818907,4704.822735818909,5146.585784890868,4537.33553879981,1209.809848155648,709.5218128781971,-2383.209665033076,-1441.5131600017744,-2407.3951890145886,-2936.3912735656218,-634.1574970487627,5320.842679722747,1117.5116309666264,-3230.3836660861957,-2342.9761780778804,-643.1954912059141,-2022.3851753800682
640,4704.822735818907,4704.822735818909,5447.796650263311,2239.059052107713,2012.8675523387074,2238.0288023022904,1164.8439662793944,-657.5824369566753,-667.4012107630383,4357.830852551165,-3143.1540901001163,-1929.1675569369872,-2982.189895994538,-1788.0023651357642,-2640.231355484098,-3216.4630600382543,-436.23490443309583
832,4704.822735818907,4704.822735818909,7401.118120414579,-2340.8104246499133,5709.140319867604,261.5691529767437,-329.3448590999569,958.9424328474388,1119.6052522480932,-2320.9377597417383,-2668.701290715615,-2995.1113150645206,-2113.810648140247,-2029.1136053461605,-1610.0395651106455,-926.2901791142472,1883.7843686285987
896,4704.822735818907,4704.822735818909,7206.850086802988,8454.106195239252,-2728.1820608152775,-1351.418690616716,1509.6422142846677,-2783.64186049831,-1367.4762394266822,222.94083822444554,-559.7620139651144,-1128.2748885344122,-2100.6418345609245,-3342.4255588111823,-2554.717219241495,-1282.5628576963827,1805.5638896151504
960,4704.822735818907,4704.822735818909,9056.020501640614,-2503.550417520195,1082.6095421225064,79.3900039220689,-164.69967596192873,-1340.7452019041061,-1759.882361440179,-272.99070946912434,-1849.198629899026,960.6904886141156,7318.29674158734,-3075.5731871367616,-1931.5314625840415,-2026.001422002479,-3572.8342099687898
992,4704.822735818907,4704.822735818909,9135.559384854365,-2412.903745044473,1985.1402197051393,1113.1248568223018,6968.870336525169,125.78913266118161,230.45713989132673,-197.95310337991214,-3196.0464277444667,-2612.677126287376,-2427.339544024793,-3472.1661019159033,-1852.27108007501,-2188.5394715916254,-1199.0444703959115
1056,4704.822735818907,4704.822735818909,-134.61948516860502,6801.227123876194,1233.3992413877268,-883.6146813056985,8424.100589853919,-3615.981214967239,-2676.8076552978,1250.6174937312653,-842.6653178095007,2132.086023027584,-2307.429769653083,-1977.436738068719,-3080.0235679765456,-2405.6737925998486,-1917.1782490296578
1088,4704.822735818907,4704.822735818909,1826.1793780082535,-36.954424011802985,7250.394325313633,1286.0716054063923,7885.89895044641,-1941.4183857365529,-3277.4055094763976,-776.7474295281813,-2367.548290513928,1720.213451523512,-2512.8002637400105,-1152.2497001327652,-3284.1408687418702,-2635.1727657525175,-1984.320073064153
1120,4704.822735818907,4704.822735818909,5.286947261448404,2358.395491113768,7143.81434884953,8014.413522118139,-2152.490501400762,1021.4164915547954,-2397.6051042956756,-2074.605073693634,-828.6419922091209,828.9103114226482,-2256.1634977425724,-2220.3804027920214,-3285.247046857954,-2957.8280917005322,-1199.2754016280605
1152,4704.822735818907,4704.822735818909,-278.70042529740203,9171.531067656419,6987.986879795277,2862.2269923531094,360.8074805300148,-2276.080288667404,-2136.0623419473927,-2486.3127862441966,-2111.2579236919273,-2885.9806073744808,-2293.059183348727,667.2044631434892,-1147.444444295089,-3022.8061309505047,-1412.052751661181
1184,4704.822735818907,4704.822735818909,113.75183052123339,6949.986173938328,9816.491324002334,3326.9656619827565,799.1934556020351,-2384.2021629396963,-2669.9170349360375,-233.7643912670601,-3073.536510724072,-3013.401578272469,-1409.5948681253885,-1448.8246790080184,-2557.802168870638,-2287.227845490459,-1928.1172064128577
1248,4704.822735818907,4704.822735818909,6810.634241776286,1187.258817429799,8801.941413155242,4038.236366030109,-2063.238143271428,-1803.562713462742,-115.52072956720713,-1341.318988055103,-2337.9884816412714,-2631.458330025722,-2104.3652362536695,-3498.755218553726,-2835.0994740370843,-2934.5744349041715,827.8109113806904
1280,4704.822735818907,4704.822735818909,7313.985580064307,6917.187028346649,1371.6220585758374,592.901645058304,4174.834699647567,-3463.2094393506113,-1438.776557162983,-3579.251838289754,-2689.164649868853,278.5124790083928,-2340.3901225012332,-2195.40558166814,-1173.1154607334383,-2284.063006131909,-1485.666834994131
1312,4704.822735818907,4704.822735818909,6080.73119341265,4104.569947276903,5958.676887428628,2157.846969415734,-2280.7665980806623,-2194.3890283862384,-465.1882496435355,-2542.2364944290593,-3326.3857904068936,-1553.00335288033,-3408.054499930281,-1465.4975199583869,-2370.9833858788197,1161.0542018563792,143.62572020391144
1408,4704.822735818907,4704.822735818909,2497.2098322055435,1752.9696092108106,4570.899333662578,4504.352833192995,2732.7133752671043,1862.4479522615275,-1461.3042486329155,685.6998946309859,-1428.0084470863176,-2327.3732128615975,-2620.595782177556,-2066.8717938871696,-3283.17689908162,-3267.130952199332,-2151.8314945050242
1440,4704.822735818907,4704.822735818909,1141.6931459769994,4279.656701796402,1059.418267346523,2675.4114350270283,-2135.3948417358206,5026.382266581683,1745.977089593348,-2115.2120348662274,-28.02351786600866,-2466.350866757498,-3149.7095048347396,-2518.2291524912375,1955.9949902400713,-2061.4014465769583,-3410.2125314335512
1472,4704.822735818907,4704.822735818909,5384.616709159551,1779.531351211458,-2132.6395225906244,-2246.987535369443,1434.7923104893453,-773.7997281166304,4694.722612243573,649.531463729958,3225.5995027489207,1318.724694552052,-2503.876410563669,-2177.8845375547885,-2454.384557871629,-3373.1907686799477,-2824.755583388128
1504,4704.822735818907,4704.822735818909,-627.7554528686751,4851.436489012713,2763.0472816128095,878.7073782927073,-2305.705697313797,428.87549984919406,-2538.4484383356494,-3579.568337475933,-2191.5583130031464,5391.214055486627,-2000.9554924108306,-2156.062687710272,1534.5873970765479,1674.124481896857,-2121.93816410915
1536,4704.822735818907,4704.822735818909,5133.122095101659,873.2416086350522,2587.9672906753485,-2322.996002427305,-165.89828753258098,365.0382498508434,1345.8884798224872,-451.6915325925529,4762.924076623273,-2491.3763367104575,-2314.296468804489,-2682.6598314451235,-2412.6491943748733,-310.22883742111753,-1916.3853094001533
1600,4704.822735818907,4704.822735818909,3983.5485400295593,-370.96131675681227,-2344.36646109673,2253.856762944987,2040.9773540685173,-1646.139747303465,1659.888767705248,-1796.7736398251704,-1757.5030055228162,5902.573869231214,192.597354628615,-3025.344235563265,-1321.3477716728817,-1356.3393558557436,-2414.6671150112397
1632,4704.822735818907,4704.822735818909,-265.2342840337833,3421.0769668198154,6008.957996271227,1106.455722622004,-503.43813069078806,2430.892216719829,-1595.5003539629888,1502.8136306477718,306.2663518010222,-2453.302860334322,-2077.0941736249097,-3011.663096625623,-2303.28507520233,-1441.780172868101,-1125.1647375388197
1664,4704.822735818907,4704.822735818909,103.7662627825166,273.1422040483012,-1970.8719482967263,3680.211093450969,4648.042306937918,1621.4713383173857,1461.2049074206734,-552.1913705748002,-2157.5057863457164,-919.9757450357474,177.05363257494082,-2949.622720149586,-1205.704911553159,-2430.626964045827,221.60770046885955
1696,4704.822735818907,4704.822735818909,3563.662187354539,-2031.4279164054965,-352.59533378044216,1209.2721900649685,-510.50666294734947,1075.6398940288382,-1886.827184160587,384.9185876361462,-371.16530689523825,-242.41929759505365,5335.615239742328,-2681.5590248936815,-683.9028453816882,-2576.5593638559,-232.1451629113817
1728,4704.822735818907,4704.822735818909,-1796.0680276052135,-129.4690904416375,-552.8262042593378,-609.3728376235003,2698.8683829662277,-1686.3782151684081,-251.19102894060143,1120.9797503842656,5710.778142807269,2865.9052303280596,-1049.4333481110102,-2391.2078171723215,-556.9250453734858,-2284.631068654123,-1089.0288231361906
1760,4704.822735818907,4704.822735818909,-1629.9194501730508,2136.425464670114,-245.08467212201867,1430.5148914233805,5926.559473928532,-1408.8344524943536,-649.8042650859229,422.4160827026117,-2212.5796991961993,4720.913414131626,-1681.159560117867,-2651.4500401373443,-238.09398025189603,-2195.245689991328,-1724.6575172862827
1920,4704.822735818907,4704.822735818909,1409.7880575436402,966.2060003214237,445.8833347132304,463.05907664873575,-279.312186886601,-1023.2084430725581,-2169.602250631319,434.00773236898476,6613.322826728533,-3701.3002532982455,-1973.9238217351285,-3052.888560336466,-2114.723799355234,4726.556566841186,-743.8642798501669
1952,4704.822735818907,4704.822735818909,999.0726656811657,1305.6717076912282,1041.638800913127,-1234.8068656276346,-149.28546551761428,-2022.874307340544,5747.162143422949,6317.745517543994,-2919.0782299877283,-3243.961909738196,-1044.3612708488586,-2122.484879224118,-716.8036142435599,603.0288597594144,-2560.663152483595
1984,4704.822735818907,4704.822735818909,-2543.549312564408,-760.2366568150496,717.7217786371266,150.00796353359783,1043.0727130428659,33.539620955221835,506.7380968917287,-245.15900515433987,-1955.4691947902297,-184.13144781627216,-2735.1674382608726,-2091.0674286224053,-2262.8655364246015,3918.6504993254757,6407.915348062176
2016,4704.822735818907,4704.822735818909,5721.68629301813,-253.83228649033936,-868.431751205052,-1085.2849621792843,1345.140027409444,451.86364657975537,-254.1354178434185,440.15336549793847,-1068.0083178158116,-105.36149089632272,-1921.6542751951993,-2841.1042132749344,-1895.6431516089597,-795.5672801691835,3130.179814173227
2080,4704.822735818907,4704.822735818909,4761.710514604713,-258.78142968815973,-1853.0884650836206,-2654.034065901014,1734.0430487752328,-2921.73479682246,1670.0756715198331,-186.49920102938268,5009.72682357682,-1226.2433943221135,-739.0044116707713,443.1785313215996,-3147.7732945170005,498.70875348374193,-1130.2842842474338
