Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
192,4720.714581504343,4720.714581504342,-2800.94486879796,9189.251831270158,-2825.1229380347813,-4102.345455213179,-4509.60683322394,9063.467816759265,-4444.204790657805,8873.395577987267,-2426.7744276296066,-2851.0839284722542,-3002.0663164432262,-2544.101438266691,-2537.4482531627723,9303.923595018165,-4386.339571132639
224,4720.714581504343,4720.714581504342,-2660.311561739978,9425.699174393369,-4476.494285637589,-3058.2359100551166,8877.802988698188,-2591.7159167855843,-4085.989961541306,-2799.3781703145773,9104.110702360093,-2610.9013163551017,-4403.6862254929365,-2464.162786706957,9251.560379748858,-3020.0025893624033,-4488.2945212089635
512,4720.714581504343,4720.714581504342,9319.500276026869,-2608.710038009874,-2509.255972790173,-2980.7073876771765,-2688.9477014514514,9241.074633260094,-4487.076221781274,8889.169456785039,-4479.439837013507,-4438.424294392163,9127.372642930783,-2935.6530619558234,-4189.427123305127,-2825.3509224819427,-2434.1244481442413
608,4720.714581504343,4720.714581504342,-2521.0373679903696,9073.622708746898,-4444.9626311828815,-4540.605524653574,-2701.7363076278234,-2700.7320736258926,-2451.7285381321076,9190.178707971849,-4480.5123342107945,9361.92731402212,-2768.974194107676,-3088.5547065070473,-2438.5061699641296,8710.035056349692,-4198.413939088276
640,4720.714581504343,4720.714581504342,-4493.906818395073,8753.52559710283,-2761.469922174433,-2341.9640744633407,9122.31082722358,9241.822029878318,-4452.538486763061,-2832.8438220786215,-2547.713078089042,9172.87105626645,-4512.41162279607,-2993.309804638442,-4178.0637015605025,-2418.7965950248786,-2757.511584487727
768,4720.714581504343,4720.714581504342,-2501.389509156009,8837.927983231384,-2709.489565813223,-4482.491629399626,-4500.371537102804,8724.836837036339,7479.354475110044,-2520.2975570713284,-2539.8144128392532,8853.773275826123,-2579.9888707246273,-2768.9078652268354,-4144.993616028168,-2596.401607406259,-2551.7464004357494
864,4720.714581504343,4720.714581504342,8410.455194835595,-2095.089053664182,8246.89918335206,8338.321210888716,-2584.991473912694,8468.570370940648,-2345.368583976536,-4108.927749689485,-2518.830591978371,-2275.5069934001426,-4427.909653987283,-3859.3401247104835,-4474.521650550477,-2501.8428061420987,-2271.9172780052886
992,4720.714581504343,4720.714581504342,-2596.0976486835325,8896.062026339569,-2725.292203911491,-1909.2475155481634,-2156.3611385349773,7795.870690692348,-2350.109830046937,-4427.6644899059365,-4459.895637205335,-4502.279198860371,8153.872427290939,-2487.047927412161,8316.66871455582,-1604.013745962172,-3944.464522807613
1600,4720.714581504343,4720.714581504342,-2542.46013127943,7843.83571565919,-4422.42899241356,-1587.3628782806545,7832.006015362247,-3876.877100862238,-3726.190223749058,8441.456532140028,-636.763825773834,-1272.7683581082438,-1367.9786917790266,6027.289623643077,-4273.835696149959,-4361.40635317072,-2076.515635237819
1696,4720.714581504343,4720.714581504342,6390.530599980379,-3544.38084191537,-4243.693894554635,-1260.5402476564263,-4286.369122518115,-2608.015112510712,-1715.7994139685597,7170.396669771902,-4514.280810585124,-1592.1235964924253,-1673.9279102940723,-3601.7771093894576,-214.41529476029064,7671.1246644729945,8023.271420419904
2080,4720.714581504343,4720.714581504342,7680.6256945381365,1486.8675722751268,6455.945328134153,3608.3406608903124,-2906.912385645583,-1323.3841507878578,-3847.9104951706927,-691.3444840559873,-2771.386187919075,6207.0164023314655,-3985.899302865509,-4436.253819751586,-1416.7819824600724,-4283.961627334733,225.03877782190648
2912,4720.714581504343,4720.714581504342,991.7853848431969,-3890.0157874331494,462.5404527358223,2835.7673435891957,2692.1509091996577,-1277.0903987693237,949.9060491548744,-1760.9405247553186,-1259.0913127405347,-3696.638906668334,2863.309350771432,-3682.3872181680026,888.069411266747,1171.703976408714,2710.9312705650173
3456,4720.714581504343,4720.714581504342,1650.668259786944,5751.782926337025,1052.707086876363,1385.8152993873382,-4265.115874780596,1472.4099638026773,-2776.639435838676,2689.760996873034,1839.5618121626676,-240.67537340408853,-522.9122996193882,-1891.5394617915563,-1492.4215302476418,-3958.6979636066185,-694.7044059374812
3552,4720.714581504343,4720.714581504342,5680.273405515143,1571.6808763010686,928.3767965468014,-4277.863973155168,1249.2655757343246,-2584.893251262003,2776.42497165071,-269.37836625690034,-644.7277054274423,1964.4590994564242,-1450.093330518071,-726.7809516850484,-493.8864608874237,114.6918714056028,-3837.5485574180225
