Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4704.822735818907,4704.822735818909,-1211.6767164739376,145.1626456883614,-4001.4216655636856,-4231.52686452529,-4036.34488915467,-2162.9573132458654,2106.866813185924,8465.484227359404,-404.7622317767573,-3435.793530017692,4355.614309132029,-1754.0943452474403,-1870.1417960592803,9793.321886301823,-1757.7305296029067
63,4704.822735818907,4704.822735818909,-1255.8755914300264,4355.614309132029,-1870.1417960592803,-1754.0943452474412,9793.321886301816,-1757.7305296029062,220.42310627199095,8195.248574967241,-3420.1261622694383,-4005.7918721115893,-4140.948984664976,-385.52332191888036,-3981.910027232063,2225.0932414888784,-2217.5584876253433
94,4704.822735818907,4704.822735818909,-1255.8755914300264,4355.614309132029,-1870.1417960592803,-1754.0943452474412,9793.321886301816,-1757.7305296029062,220.42310627199095,8195.248574967241,-3420.1261622694383,-4005.7918721115893,-4140.948984664976,-385.52332191888036,-3981.910027232063,2225.0932414888784,-2217.5584876253433
125,4704.822735818907,4704.822735818909,-1255.8755914300264,4355.614309132029,-1870.1417960592803,-1754.0943452474412,9793.321886301816,-1757.7305296029062,220.42310627199095,8195.248574967241,-3420.1261622694383,-4005.7918721115893,-4140.948984664976,-385.52332191888036,-3981.910027232063,2225.0932414888784,-2217.5584876253433
156,4704.822735818907,4704.822735818909,-1255.8755914300264,4355.614309132029,-1870.1417960592803,-1754.0943452474412,9793.321886301816,-1757.7305296029062,220.42310627199095,8195.248574967241,-3420.1261622694383,-4005.7918721115893,-4140.948984664976,-385.52332191888036,-3981.910027232063,2225.0932414888784,-2217.5584876253433
187,4704.822735818907,4704.822735818909,-1255.8755914300264,4355.614309132029,-1870.1417960592803,-1754.0943452474412,9793.321886301816,-1757.7305296029062,220.42310627199095,8195.248574967241,-3420.1261622694383,-4005.7918721115893,-4140.948984664976,-385.52332191888036,-3981.910027232063,2225.0932414888784,-2217.5584876253433
218,4704.822735818907,4704.822735818909,323.15549350640504,8225.71500943584,-433.51416200020503,-2068.965128392641,-3939.9067786428036,-4011.9102630812995,-1286.6365384598475,-4046.9816014883168,-3454.0443629895626,2536.4070504164774,4280.867962061311,-1957.8083407154072,-1665.7005692633265,9418.074883778092,-1918.7526541647162
249,4704.822735818907,4704.822735818909,-1942.0401026587633,-2295.842814052873,-2012.0267040635335,8655.273219577666,2580.8550380001225,8234.61136841328,771.2356786076134,4372.549884488863,-1091.9339562949935,-1608.458017494264,-3907.5333695292297,-3803.332123915572,-3999.5087149654664,-3508.58476211891,-445.26462399392403
280,4704.822735818907,4704.822735818909,-2408.1519403781676,-730.9595951056967,-1652.8779709797273,-3920.8116691343116,7752.918007695737,4262.706133571149,-1556.4863665013881,1355.2586041809373,8297.305755097146,-1981.7442022430982,-3567.019294540625,-628.6411701680981,-3828.5845032721427,-3574.220376901856,2181.308588680159
311,4704.822735818907,4704.822735818909,-3406.103847995888,-1539.2739220990507,-3556.251831708051,8056.775408813367,-539.8757867935092,2332.321969359714,-3680.507089868772,1489.308981094775,-3727.928209495068,-459.087587354099,4035.1108311292455,-1451.8042637500348,-2538.2935002278973,6850.632878403078,-1865.0240295077951
