Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,1743.4557473286873,5693.640390614671,1904.3114570672228,2725.1080446767564,5447.29946190143,7620.796912317683,9599.760910349329,1966.526002365217,6837.391189318889,5044.149495088108,2916.9469774685404,2579.5025996698305,1850.9422799793183,6177.024039550403,8465.48552958755
64,1682.9426561027742,6382.412039528751,2018.53456725012,7240.06976986092,1980.6814153154094,7127.184719228439,3043.8856108130053,4344.82350914589,4457.576058389046,7700.511599352468,2336.5302275368404,4373.048404815773,6306.302542832613,1626.7474937875363,9951.090423324053
96,3278.3712838711463,5810.315909406298,1990.5041659361848,5733.113195138225,9756.428869743559,2568.342605996724,5501.929246197187,1770.056451174171,3581.5709467913784,7874.2620217631575,10896.19766813423,5908.204382314656,2161.3431651548253,1790.4670510708218,1951.2340745910794
128,5687.0857052688025,1957.2695090720044,6270.816101370118,3233.779220779221,4914.87996813169,1638.302977137696,5635.088626857524,7549.7787662989995,9928.482933778427,3937.998033910238,6704.291313414738,7446.212930132421,2099.7191078868796,1619.3561947160542,1949.279648528819
160,5825.282793644216,1599.9619149300963,6070.675427010615,1933.2901757676545,8071.4818642403125,1985.5562172285809,2856.8801727412406,5940.846029735452,4849.348360650471,7359.101941410525,2506.390039151934,2720.1105756970182,7195.762461616024,1678.7026408780303,9978.950422581463
192,6417.635771409782,6186.717104084433,1723.7708576872992,1811.1368301523667,2641.0785320701043,4930.618261069537,7298.915350868014,2054.1841207056327,7972.378862088011,5334.116724160495,2294.0514155349783,4619.468136198492,1697.8784813304696,6065.3434658580045,9525.047124066015
224,1764.1798761831255,6801.763334889462,1880.9963706872013,3094.51064833745,4076.3590777692616,7479.323162244036,7521.828716856033,1971.6654363454393,6735.3557251253405,4868.185676384348,2253.0725365442568,4105.941757098769,1698.469568695479,6648.13594685785,9672.553203265572
256,6764.61370880536,1867.549557578511,1870.7573850862134,7171.984934840183,6113.142724012344,1835.323999944687,2318.6026618650285,4973.606538304801,1624.4397397058606,7191.192147304889,6625.145345387163,9886.680188406852,5287.519545905092,2887.177798280252,4154.604761856393
288,5542.56904530299,1587.2282685704886,1956.0476352877427,9753.682217499221,4904.674682485833,6841.177776605861,6691.284873243496,2851.359589237167,1568.6411680485153,6011.307174930327,1880.722936004682,2681.2568249577175,4698.371993328004,5466.056467989072,8137.960383792519
320,6049.151581682005,1989.6519250667964,6558.208999872113,2725.1080446767564,5089.815370437191,1796.7338602697873,5272.026471990688,7526.376998483953,9906.676193847088,3805.521262751933,2228.8621725793473,1601.5982650675173,2006.563305315464,7712.91276961058,6303.133815632414
352,6772.268738841226,6027.477366558742,1746.1754407915648,2032.3811913439035,1902.415074219258,7177.49667365893,2661.1496422617392,4708.215303805499,7968.180311895418,5321.051585584114,2625.3091266537876,4192.744911436026,1513.2298408113384,5972.475684280421,9951.770145141667
384,1779.0900866123077,5915.447827525959,1880.6419235527587,9703.877604439165,2724.8653062253643,5308.622895766743,6797.352564549676,1970.4313851371867,7518.891109975346,4626.329586156434,7131.856015062086,2153.106699876429,5615.157416506307,1808.9548971250333,5637.715718772844
416,1905.0284137804313,6330.637763118211,1686.4387757283087,6382.412039528752,2913.7214355536935,4497.315361873255,7978.63214661235,5443.160349199674,8219.428397922145,2001.5810378915367,2477.1008447053105,3367.559149149022,1600.4350583950295,5970.232368136094,9798.657895689825
448,5663.378970178015,1676.3195838240094,7585.953209547813,1978.0270122009993,1948.389225460662,6401.0702754489,2069.117752922153,4091.8802295354863,6513.715868807234,1671.3045775422406,9981.09743918681,2613.522960592728,5135.965460356383,5724.497066181001,7518.101405499199
480,1950.9462025962882,6429.381824169358,6573.93305063268,1766.9510786580079,9973.414108611165,2845.1805016471603,2206.222292049767,1708.2544515050345,8365.60033382083,1945.7316117361356,6861.719907879804,2684.7932373788944,4443.189380574464,7518.490446181793,5298.532609842251
512,6851.534843813964,5933.94181160314,1800.2588938673825,1657.0214591687252,2724.8653062253643,5324.355937637084,4850.759382218177,7742.381002025439,9612.091610367781,3391.4180109926883,2231.251190922899,1637.7093996914787,8104.572728624993,2019.8763740992315,6690.303086025288
