Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
207,13011.818521494994,10346.16978159776,2015.6879301242386,1927.6331214735028,3050.724082936706,15250.667072018954,1124.3421216097595,4813.94514196285,660.0425992730159,2576.269664698473,838.5099196033959,12366.99396683515,719.4085864059142,1443.2446073235958,665.2616052068161
414,11708.298530918817,3680.1753330164215,1892.307579323513,13881.257698322846,2587.025459525565,1931.7625234132147,1248.5601743708353,13368.047260459865,8773.002602361637,1169.5232867752227,1519.7829793475441,1053.6756027808306,659.4436522014674,4594.722507487735,2743.1335322596083
621,1121.2985810211978,9162.740124688331,13361.643613286591,9800.828452160436,11410.549777559238,2166.6422507007633,5510.560993255332,3429.2886749292525,645.8177496828825,1770.2248302331243,1218.7030803273474,1803.796556340809,6917.729802823937,1946.4244845673331,544.469750988541
827,1206.305047214432,2497.091383723054,10446.816377948297,2911.403736661785,612.9200266606604,1153.3321056060208,2721.780113840837,3951.1624245463963,530.6774126098903,13085.736559455709,14277.586552535298,5790.513306286468,1049.7962316867606,7891.034808668273,2684.5626351212404
1034,9872.002565063602,3330.975005354044,14103.959004972814,3821.214050348195,5979.609898537591,13296.673651729043,3318.791655644293,6081.389125030269,578.5430970792798,657.9674154425473,758.407744308906,3730.6606475013114,653.0355943211755,3709.1005104650367,918.388756767018
1241,5664.298405386355,13196.419076046332,5836.967947851601,632.8118664699766,2248.5004029369875,4240.6912837127675,969.38431964278,1195.5953778685341,4224.713905414186,2113.9223330496543,2212.347853276508,10239.493367967329,2984.017815838062,564.4038915142205,14487.150875589832
1447,3707.5416817799132,7960.926174124118,12740.538654908158,10192.626259523253,525.4866062781321,2756.0562418281575,14510.950235703842,3736.074833314503,1832.5194790600276,1595.7294124778564,2353.075969020202,932.8904192292177,2911.8176195292726,4336.55514526545,717.9299905230238
1654,10097.745824629334,2191.1342317128274,10674.97276597644,3813.1666673108703,3001.5102919768433,2994.3860772774296,678.7529876326995,3322.7021773353595,1247.9303117477016,4149.665183801287,13839.684355220852,747.7108528462917,2825.6233533587383,670.4712130188553,10555.2624287196
1861,5865.913134312046,13359.751036938498,3836.1632175064638,1289.812781291254,983.11204538921,10351.193787667758,6062.121054926939,3008.4336464289254,4972.955040404009,9765.54936205394,2909.592025552622,666.4257324635823,2325.0588152590904,3987.9756982423837,1426.6613441283969
2067,725.9776843660035,3549.9176690904574,2424.121191426408,5134.262521451668,2493.4022842554423,2068.303208226962,3005.4138145617817,3937.034076328385,9769.095120068645,13070.377483532284,8772.266359908122,1287.0497900889095,4021.4361669613236,8821.69709389607,1730.3642584026688
