Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
207,4720.714581504343,4720.714581504342,-3606.627600621833,5839.446606750453,-4060.562831732393,-2738.119857184004,-1775.0740357462123,-2779.529975800418,10475.999376120999,-114.95047569207509,8403.72711415301,-2294.195223433798,-3956.7272369823027,7856.1581323595165,-3923.0203665617387,-3277.9215378680724,-4048.6020877611336
414,4720.714581504343,4720.714581504342,3058.7387163700887,2370.4727795028684,-2810.6391862542514,5841.492454936784,-3355.88817190831,10269.86583347785,9144.708032158367,-3098.976477236228,-3642.5120287393734,-3016.8184922693317,-3215.269520934615,-3628.546985651844,-3517.997500049457,-3958.67397951532,-439.955473887233
621,4720.714581504343,4720.714581504342,-2966.8947109260903,3903.89428505837,-965.9617976686914,7316.594794716932,-2543.442007423484,-3905.9932076892846,-2359.145680047367,-1749.8865448369056,427.647784469762,-4135.8659140053705,-3149.7605323500466,10032.098933790492,8016.255654529348,-4007.872081047331,-3911.668976570336
827,4720.714581504343,4720.714581504342,-1497.791381138315,6874.359934695387,1977.7684926265974,10964.91970718038,1672.9558843398454,-3849.707733466319,-3836.384863748931,-1926.4892739979323,7777.7092946707635,-4184.486000686325,-3597.8793338909973,-3837.8568466492884,-2345.440621342257,-1702.2835326028671,-2489.3937259897493
1034,4720.714581504343,4720.714581504342,-2391.7878057801554,5721.960037914914,-47.00460501479847,-3942.1043934573354,-3302.419948050619,5210.569752947835,-2051.1996123420035,3321.4820597749285,1338.218166014658,-4080.0289807332124,11078.246267376166,-3484.846070676501,-1311.2409283572856,-4176.305136181596,-1883.5388034350067
1241,4720.714581504343,4720.714581504342,-4023.915151128846,6109.409554540524,-2565.4571840230633,-1848.44696034267,-1297.892569587917,10109.50642926542,4085.365741762552,-4103.780635556348,-1865.6021085613743,4721.7690295555085,-174.92215590881824,-3556.314531900817,-4145.206019706617,-250.83428770961928,-1193.6791506979075
1447,4720.714581504343,4720.714581504342,28.637326826589742,-978.8422587720711,-391.59202454076876,-3650.1396060534635,-3400.741651855674,-1360.3027439725588,884.614176103074,9336.391958248449,-3658.751582249106,-3986.634309346337,5758.744841772,2777.2659530067776,-4098.236441206549,4620.8084318191895,-1881.222069779551
1654,4720.714581504343,4720.714581504342,196.66015486223478,781.2902723953848,8448.601018480633,-4002.9716292828534,5579.954025540052,-2066.3172928575104,-292.45615221182015,-2917.416094976832,-1480.5659018216202,-3484.524741380207,-1705.620162126439,2430.8186865906464,-4042.761868489314,4437.837883103388,-1882.528197825749
1861,4720.714581504343,4720.714581504342,-3240.957361965001,-1202.5833500683802,196.66015486223296,-393.76717318576357,-444.5525700881981,-3250.2000609819197,-49.22355382348451,-753.5494731283493,-4075.6388479161587,5437.865472557581,7570.982494387837,2073.5285314950324,-4047.4391202655047,4072.7975311914297,-1893.9226730713667
2067,4720.714581504343,4720.714581504342,-1024.3501890307843,-3687.2454706781405,-1163.4132351905782,225.78036142649307,1440.66864468112,-454.44844195472433,-168.22014231021694,-2325.2346936161866,6900.5616631724915,-4092.3822445327814,4710.144697730229,1373.507276195046,-3833.494598583953,3810.6454337165487,-1712.5190610245704
2274,4720.714581504343,4720.714581504342,-307.56896382799005,933.2403352139836,-1141.516196240821,-3032.6905509170174,-2547.8881284108293,-1871.0891533254817,3319.1282165179946,-2123.489344746535,4153.762409185976,-2104.331700379447,606.586959147995,7326.797757131031,1147.0429606314956,-259.6446406052619,-4098.339959375097
2481,4720.714581504343,4720.714581504342,-1616.818939510013,-2196.2697650760474,-1485.0263943179725,3165.0959688833873,2601.246933863681,-2443.2053460351954,-1001.1435797972863,6834.294594331803,-3036.8073572167923,3913.538358052707,-3976.6351938180364,-1232.6043152842703,-2697.2404718636235,4252.906833238705,-1081.3313254510522
2687,4720.714581504343,4720.714581504342,-1484.8989589115267,3448.530436649021,6898.696840211848,3252.2693106186516,-1250.6830958951114,-2049.3220039319654,-1874.7145193173083,3333.477625833336,-2030.7695462956203,-2915.463671083816,-2335.3469023924295,-35.00136903402472,1421.9134347131667,-4079.566735507613,-299.120845656631
2894,4720.714581504343,4720.714581504342,3689.3940768713355,-1291.3551705273112,-2306.5209906392606,5201.425482814503,-1635.1149071723648,3575.306507757351,-605.5812802476803,-4028.475163699267,-2685.800942245114,-1939.6306038900857,2983.324345785116,3811.5651172885127,-3316.7286809043585,490.69753841622696,-1942.5053296076208
3101,4720.714581504343,4720.714581504342,4275.664904336288,3808.902088966971,-1264.565558913394,-2395.8097552323916,4571.004007910408,-1703.7527262292601,3588.5440966722645,25.3367814480971,-4033.1721424572015,-3024.0168943241624,-1627.3600383744151,2602.9992896506837,-1827.8616960695572,-3377.8143756252107,381.90201824086216
3307,4720.714581504343,4720.714581504342,-197.46795999011738,-249.05952508414975,3808.902088966972,3629.5416501486525,-2270.738100675264,4322.545494230148,4394.778423194139,-2395.850903898742,-3086.342507011844,-1264.565558913393,352.79132444585593,-2107.8934531617083,-11.087389034327316,-4132.804133545828,-792.7494496703998
3514,4720.714581504343,4720.714581504342,3766.6448974237555,3816.0181740070184,-1306.7435803064977,543.473492826216,3639.1550209478864,-573.3348923719896,-2479.5439544821998,-3220.59133909067,4810.254098231524,-165.3352513797863,-1027.6993855405353,-2433.3414640065266,-2173.6282519246333,349.5187934160458,-3544.846357749615
3721,4720.714581504343,4720.714581504342,3676.9871827682928,-1441.367987866222,-2085.771075470447,587.7780535180318,-2416.0264796680553,967.9477992754919,3639.1550209478864,-934.001418330583,-1677.7930755372518,4778.152684006265,-1738.671155512398,3731.7893352240535,-2459.2734350196242,-3279.5828507703204,-1349.322597565128
3927,4720.714581504343,4720.714581504342,3676.9871827682937,-1717.0525743463281,-2053.024658094113,1408.7483183702134,829.2056530431446,3639.1550209478874,-936.8177091198359,-1496.556238908156,3717.4238179699832,-1349.3225975651271,-2544.5719768832214,-2217.1035426983317,-3453.312909126532,-2124.006599280552,4620.248812922681
4134,4720.714581504343,4720.714581504342,3676.9871827682937,3979.6080368325993,3630.683594509793,-1349.3225975651276,-3381.8156083158287,1766.666575557977,-2363.473906271679,-1245.6410885944706,-3072.7731568296285,939.4691142869269,3639.1550209478874,-1862.5199042541658,-2489.4853519599014,-714.8146834586523,-1152.723227654018
4341,4720.714581504343,4720.714581504342,1616.1583112103926,3676.9871827682937,-1349.3225975651271,3618.498174472349,-3218.3723912262676,1254.2485660562534,-2629.5024128823225,-906.2006143982717,-1178.6459814112104,1008.2012706568485,3639.1550209478874,-1759.4026765773842,-2306.969187922852,-534.463492776079,-930.3691713525054
4547,4720.714581504343,4720.714581504342,902.1200770402593,-613.7337898716587,3676.987182768292,-1349.322597565129,3502.6176177121224,-2988.975262429869,-373.38222147651413,-2557.7984352859394,-724.0277172957626,954.8414257738095,3639.1550209478855,-1702.6104305382341,-1117.7125832936063,-566.9446522472872,-681.2136342383901
4754,4720.714581504343,4720.714581504342,3748.684320700154,-1256.2765912048703,3455.264493993199,347.7384339646751,1074.908904467995,3639.1550209478874,-761.5410382144146,-684.7431918270149,-1821.6130912508906,-576.2496382333484,-629.7779084552722,-742.7013408899725,-64.14626459607825,-2835.05816060499,-2893.643948797052
4961,4720.714581504343,4720.714581504342,242.5434645460964,-206.2271348777267,3761.576251255212,-1239.5729329251853,3481.3072632948515,3639.1550209478864,-2689.6404724698955,-2871.1337953860375,-701.5121578228718,-757.0034823962392,-480.80574884803445,-641.5590548639884,-1691.1506181255036,1002.0649560280153,-848.041558356585
5167,4720.714581504343,4720.714581504342,127.19358618962269,-306.716613534978,3783.0203119359485,-1216.7459890752289,3537.8196393991348,-2836.1043671205375,-496.8894330089206,-2430.4169187612974,-864.6254792573336,1002.0649560280153,3639.1550209478864,-1659.8729437841203,-796.7383546788301,-589.9775564436322,-891.1658588357354
5374,4720.714581504343,4720.714581504342,3783.0203119359485,-1216.7459890752289,3342.532418929409,-578.1454403363423,1002.0649560280153,3639.1550209478864,-1608.8178419797537,-897.4577984680795,-477.9665450879902,-839.7150793574365,-55.321075706919146,-953.512528206496,14.317758504935227,-2018.1653406066853,-3135.2428275212706
5581,4720.714581504343,4720.714581504342,-425.99087063594743,1002.0649560280162,-903.006887373589,-1413.854680102334,-814.1298340988474,-74.57587523511665,-1910.0174951413228,-3281.2814503678446,-380.5023229607132,-835.4899469622442,-1216.7459890752261,-470.066780813836,3639.1550209478874,3783.0203119359494,3301.4218438551734
5787,4720.714581504343,4720.714581504342,-1008.3367939641107,-956.8490136981623,104.10313324050458,-998.5586448154713,-1691.6985961123892,-3221.4722907527903,-214.2669903392234,-1385.0796471689637,1002.0649560280181,-815.1196623811834,-1216.7459890752275,-55.76162263495917,3639.1550209478864,3783.0203119359485,3035.5458287901156
5994,4720.714581504343,4720.714581504342,3783.0203119359485,-1345.8495301478124,-1216.745989075228,-3407.9635818231945,-268.7238629374151,2607.4253158053843,-708.1703666157778,-1253.035493188033,3639.1550209478864,-1216.2359702623144,580.2809952638381,15.594438926612384,-1421.2506768028684,1002.0649560280171,-789.5655680550508
6201,4720.714581504343,4720.714581504342,-1022.6263194262356,1375.736744074954,17.36771713721646,-1437.0327127321593,1002.0649560280171,-804.8432924305989,3783.0203119359485,1966.3968438184747,3639.1550209478864,-1216.745989075227,-3640.6843844599025,-495.026762315817,-3313.629973220674,-931.7561748044009,1078.6040145225088
6407,4720.714581504343,4720.714581504342,-99.40996300421557,1789.3781173805119,-47.175291920434574,-1432.9237712335607,1002.0649560280181,-803.618307555625,3783.0203119359494,1514.7756795587075,3639.1550209478874,-1216.7459890752261,-3896.510541304034,-261.9930844594164,-3895.6636620356485,-1183.0603717937138,1108.706896530808
6614,4720.714581504343,4720.714581504342,-64.21426977707415,2311.886099263387,95.59501894504683,-1426.486370951718,1002.0649560280171,-777.3661143208797,3783.0203119359485,944.912510090051,3639.1550209478864,-1216.7459890752275,-3829.5129096867877,253.4906587652722,-3950.472163530412,-1633.607012389672,868.2802537561547
6821,4720.714581504343,4720.714581504342,-271.7962259371898,2848.3413761031243,175.49439408421767,-1360.3207745908553,1002.0649560280162,-715.8491296607949,-918.0714538424486,3639.1550209478864,3783.0203119359485,488.68849124675216,-3971.2119466070303,-1216.7459890752266,25.562399112936873,-3940.182955273705,431.85152552835916
7027,4720.714581504343,4720.714581504342,3639.1550209478864,3783.0203119359485,287.3422958065348,1002.0649560280171,-558.9901431143753,-1172.4750346131264,3098.3003425902125,-728.3488541836591,-3926.1417358220237,1415.5965473588903,-1175.4680916433335,-1216.7459890752252,274.93550957777916,-3851.83290722248,-870.41222857106
7234,4720.714581504343,4720.714581504342,-692.6896709758489,3326.2925218018336,3639.1550209478864,3783.0203119359485,324.255373397712,-1061.6127830389614,1002.0649560280153,-742.4173773533671,-3492.894809846711,1962.3867662696948,-2161.8742670173283,-1216.7459890752275,-3992.709150334934,-869.2276739180511,192.9967711793288
7441,4720.714581504343,4720.714581504342,324.2553733977129,1002.0649560280162,2639.0921564794226,-692.689670975848,-1061.6127830389605,3007.4655439661983,-742.4173773533666,3783.0203119359494,3639.1550209478874,-3442.9184110592264,-3253.5502395810786,-3395.0352058311737,-445.9207022747187,-144.1629835655831,-1216.7459890752261
7647,4720.714581504343,4720.714581504342,-692.6896709758489,2796.6562124707643,3639.1550209478864,3783.0203119359485,-946.5318259134287,324.255373397712,-1061.6127830389614,1002.0649560280153,-742.4173773533671,3136.606938770634,-3549.408064493012,-1216.7459890752266,-3890.1670586496975,-2727.8427740790003,145.65673002757194
7854,4720.714581504343,4720.714581504342,-692.6896709758489,2699.763057891406,3639.1550209478864,3847.7270185322122,-1273.094161990069,324.255373397712,-1061.6127830389614,1002.0649560280153,-742.4173773533671,3023.386530997909,-3451.4289676504254,-3924.508875870605,-556.9554372422863,-2597.4953069437042,-236.14937672988253
8061,4720.714581504343,4720.714581504342,-692.6896709758489,3090.1064403355685,3639.1550209478864,3847.7270185322122,324.255373397712,-1061.6127830389614,1002.0649560280153,-742.4173773533671,-3600.984594687046,-2403.9975053052767,-682.8558394735892,-3399.936174303708,-559.0564819551355,3139.46574735949,-1899.2241295079589
8267,4720.714581504343,4720.714581504342,3639.1550209478874,3847.727018532213,324.2553733977129,1002.0649560280162,-545.6489133244113,-1061.6127830389605,3553.7397117480514,-742.4004963837965,-1956.6226466683643,-1201.5743581545094,-1572.2571413910696,-3582.010173138551,-243.04178419442178,-1344.9656998993264,-116.80808446046285
8474,4720.714581504343,4720.714581504342,-545.6489133244122,3946.889879638882,3698.001662489156,3639.1550209478864,324.255373397712,-1061.6127830389614,1002.0649560280153,-742.4004963837974,-2105.733696024504,-941.3112409150599,-796.3125550821665,-3541.0441949656806,-1678.8386221293622,1377.9038314968202,-2575.3682221345375
8681,4720.714581504343,4720.714581504342,324.255373397712,1002.0649560280153,-545.6489133244122,-1061.6127830389614,3697.2161672216353,-742.4004963837974,-2845.2719119433123,2099.163490043723,-2687.907853329439,-1132.609811073266,3639.1550209478864,-1763.3562246185593,3446.0802782833616,-487.4002235647931,-2941.7270686458032
8887,4720.714581504343,4720.714581504342,324.255373397712,1002.0649560280153,-545.6489133244122,-1061.6127830389614,3369.5897584017785,-742.4004963837974,1021.7976165949694,-942.936739140262,-1545.2342190225854,3639.1550209478864,3446.0802782833634,-1550.3564023370814,-1817.9335850867528,-1873.0594265145596,-2723.7604388053214
9094,4720.714581504343,4720.714581504342,324.2553733977129,1002.0649560280162,-545.6489133244113,-1061.6127830389605,3605.5983079192747,-742.4004963837965,-2023.5183146046857,3779.9525620857357,-1843.2976091769806,2974.593751026554,-2923.886657611316,721.6968738435271,-1882.5263166069376,-626.7909926714178,-758.4797408823115
9301,4720.714581504343,4720.714581504342,-545.6489133244122,2889.665368774361,3208.572835060957,3779.952562085735,324.255373397712,-1061.6127830389614,1002.0649560280153,-742.4004963837974,-2431.8270014054883,-2445.2179886583485,-2167.8860372369427,-3091.4942593349424,-1170.9249680746284,3138.6088382563094,-686.1074861455763
9507,4720.714581504343,4720.714581504342,-545.6489133244113,2260.508785960332,324.2553733977129,-1061.6127830389605,1002.0649560280162,-742.4004963837965,-2341.9256396814576,4038.306482780413,-2452.585295564143,2824.271499546613,-1747.8147576862002,-2374.5653454783264,-1511.2285042505018,-742.4373619558087,3070.8119996505247
9714,4720.714581504343,4720.714581504342,-545.6489133244131,2260.50878596033,2595.0660198548912,4466.081531552324,324.2553733977111,-1061.6127830389623,1002.0649560280144,-742.4004963837983,-2800.214584785418,-2864.8195228410355,-1326.1380242511318,3001.207428850398,-1137.0661617012138,-878.5303222114499,-2292.7532871062685
9921,4720.714581504343,4720.714581504342,1734.3608496789502,4795.22387164242,324.255373397712,1002.0649560280153,-545.6489133244122,-1061.6127830389614,2260.508785960332,-742.4004963837974,-1538.9431866144841,-2363.9279600857026,3230.425956764274,-2604.1407971717317,-3406.751404357299,-330.49707409857,-752.9171783967558
10127,4720.714581504343,4720.714581504342,5007.247279279423,287.9661793983105,1002.0649560280153,-535.6831037954698,-1051.9811888023146,2260.508785960332,-725.7087061499842,-1498.1091656117278,-2434.931783356762,3166.3814381950033,-244.60701684974083,-3541.5322423364905,-663.6934791623526,-2200.420498691157,1172.4985458949086
10334,4720.714581504343,4720.714581504342,5081.312728316877,-1257.23302104274,-2434.931783356761,3166.381438195004,287.9661793983114,1002.0649560280162,-535.6831037954689,-1051.9811888023137,2260.5087859603327,-725.7087061499833,-553.3969889103819,-3505.421493851423,-2304.9167925236743,-2598.521001047874,3169.5599915820803
10541,4720.714581504343,4720.714581504342,4641.8651780660375,-535.6831037954689,2260.508785960332,287.9661793983114,-1051.9811888023137,1002.0649560280162,-725.7087061499833,-3447.409912265598,-1029.7972177546603,-2545.7513310866707,3043.735302387755,-2578.0366191574267,-627.519289144876,-3156.072400201004,4461.819366517552
10747,4720.714581504343,4720.714581504342,4022.8686008801133,-535.6831037954689,2260.5087859603327,-2607.615996476457,287.9661793983114,-1051.9811888023137,1002.0649560280162,-725.7087061499833,2827.3332314728896,-984.2409473520943,-2630.688373859111,-2720.700309819377,-856.6339842824509,4427.339427837959,-2714.828571040364
10954,4720.714581504343,4720.714581504342,4022.8686008801133,287.9661793983114,1002.0649560280162,-535.6831037954689,-1051.9811888023137,2260.508785960332,-725.7087061499833,-2349.782104607786,-2194.569574047045,-2607.409943614008,-935.8795758979263,-753.0280611075932,2180.464151344906,-3014.737555639783,4414.9071400502335
11161,4720.714581504343,4720.714581504342,4022.8686008801133,-535.6831037954689,2260.508785960332,287.9661793983114,-1051.9811888023137,1002.0649560280162,-725.7087061499833,-2092.7005203236886,4584.851627038238,-2566.20382211598,-1136.0395508964712,-1598.0271251656277,1724.3751399227995,-3355.2337781168208,-821.0574938614482
11367,4720.714581504343,4720.714581504342,4022.8686008801124,-526.6612589175602,2256.198312030061,252.77591524872787,-1043.921873740118,1002.0649560280153,-707.5996019405079,-1707.579026718206,1192.079995521055,4473.831642773574,-266.78711391354227,-3954.743708948117,-2680.021728336606,-1552.331372074117,-760.1737378927801
11574,4720.714581504343,4720.714581504342,-593.3037067382193,2230.707904889886,186.7850342897218,-956.0486006243705,1002.0649560280153,-1452.250559975229,893.3354498805948,4631.144996133995,4022.8686008801105,-662.2963995039199,-2263.7282621326904,-2782.790548080604,-648.0463614193745,-3103.545524807808,-504.8969788201166
11781,4720.714581504343,4720.714581504342,-599.3603628910896,1727.6020795514687,216.23434193614412,-960.9723290718716,1002.0649560280162,-1621.6848756032136,1164.982718043525,4686.114383931138,4022.8686008801114,-680.7653225499666,-2335.6158435887523,-2590.0952115742243,-704.7375466624699,-2723.4931940292454,-603.1423943995651
11987,4720.714581504343,4720.714581504342,216.2343419361432,1002.0649560280153,-599.3603628910905,-960.9723290718725,1727.5900692173982,-1496.2342101698664,959.3878601196566,4022.8686008801124,-680.7653225499676,-785.4830268730007,-2770.138109189458,-2582.3664540505333,-2451.3488637478,-105.06951314931666,4503.592363511574
