Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
207,4704.822735818907,4704.822735818909,-3989.975430380995,-3984.629226453603,-4116.116194657259,-1139.5545534186417,189.0123996276152,-2256.3885785286598,2247.865486956156,7953.538661796267,-269.03680701162375,-3401.685282453457,4344.223058016134,-1737.8308267933544,-1901.9956583461762,9898.182045285674,-1835.6090936380479
414,4704.822735818907,4704.822735818909,-765.9496437694315,2062.3046774386476,772.8276384250739,-3060.624696915498,-1494.3149415520256,9354.601414854997,-205.25621556502574,-3107.733717961405,-3276.545452443226,-3190.2323563170703,-2608.781697885018,3958.5558298832875,2979.226367660771,-2982.858885083541,1564.7816792294698
621,4704.822735818907,4704.822735818909,444.85821457685233,-1797.935296951699,-2375.0932971523416,-4066.78883146504,6047.887081277311,1168.799283805386,-2553.021027032057,2634.4015292184704,5305.364550081873,-3085.387025603959,954.001179631683,-2754.0734635638073,-2047.8830654533185,4940.808311268243,-2815.938142637594
827,4704.822735818907,4704.822735818909,-310.2543235104986,473.84572283320995,-2800.0995998332587,-3405.168850623386,1009.0698412056863,-1180.1430688008395,4941.373973772779,-3981.235624320272,-4028.8211252657957,-119.70948600041538,2487.202439284536,-2811.0448940672436,49.23259710898128,5174.667023551121,4501.085374665399
1034,4704.822735818907,4704.822735818909,-4063.026376444535,-3832.3628375119797,-986.6008178299053,2326.805850735891,-1004.7577344496995,-2943.4338333333862,5585.803278877484,4948.896370335761,1682.8156697051063,660.6519021919321,-1946.4942045640832,-2451.938901535795,3674.531648943247,1456.799067094892,-3107.6890822149153
1241,4704.822735818907,4704.822735818909,-1528.0237237571996,-3315.196832522789,-1406.027787697402,-3789.2425336657543,1981.3636805400938,3783.8763821789917,8425.870550220057,-2510.82738302017,-2183.4794237375463,3008.4207397530954,169.27607018726212,-2959.016249986892,302.7997839551872,-2227.324955585931,2247.53168313901
1447,4704.822735818907,4704.822735818909,3021.2416127372053,231.29612767542858,-1490.934704998976,23.075221081449854,-3152.0148749193177,-3082.441446947139,-2399.8607582527447,10951.522356025362,8191.250841010397,-1984.1957119708577,-3475.576207601437,-2206.4275341537373,1292.483903763863,-3000.820948569632,-2918.5978748798525
1654,4704.822735818907,4704.822735818909,-2656.1569377762044,4147.450729984199,-1971.110656911082,-1217.4721197698436,-1466.132742088053,-3651.5444547543234,-3620.674148023614,-2566.5941731336447,33.76698810884136,-2280.7529500605524,14566.256409882188,8765.390589520546,-2576.540764971063,-3105.010316286051,-2400.875453721344
1861,4704.822735818907,4704.822735818909,5221.887376121886,-2847.546879040573,4401.344484142948,-3328.5878438032482,6692.428357616094,-2936.4437334236245,15238.29553038172,-3778.825037875078,-2319.2286771281474,-3023.7617539921207,-3960.0942078813655,-1719.7890604446711,-2883.3758146246482,-1912.4760209980655,-2843.826719051105
2067,4704.822735818907,4704.822735818909,-1719.1181483570876,5224.186320430179,-3245.9092479669644,-3961.703071694641,-3939.8616059307515,-3728.4878347369577,-2247.449504308536,-2390.9458229879046,15715.594126568709,-3095.2856349311987,-1739.3258414359207,11660.276833149728,-3462.9189321216654,1051.8005470001754,-4120.8521826771685
2274,4704.822735818907,4704.822735818909,-1906.058144478704,5913.309157401768,-1343.5837696796339,18013.305795727643,11818.173982642242,-3822.456085126272,-3950.3109932305865,-2657.164316189175,-2067.7859098448857,-3903.361393471485,-4139.077202623597,-4170.010312704496,-3489.7483641968465,-1399.6146751811043,-2895.6177690448526
2402,4704.822735818907,4704.822735818909,7684.565437312547,-4106.86674471283,-3150.5276177542964,12037.864126344573,-2334.414295482448,-2037.1243998903738,15622.189959352285,-4021.6360809769453,182.83898417313503,-1810.4257570933178,-4012.726648782578,-3974.0139443585936,-2351.805952036353,-4077.260307524802,-3650.656758569997
2609,4704.822735818907,4704.822735818909,5578.532951995394,2292.087394947349,-3929.336117717104,-4151.59998009509,-4026.7158364622474,-3696.916583163758,-3979.679878976771,-3255.8086472238524,1773.655766200588,-3712.567487671327,-2575.13679109136,-2558.908890652439,16021.34331795321,-1322.3490161328828,7543.399798090293
2815,4704.822735818907,4704.822735818909,5943.747251043649,3090.9082969772426,14517.041519838358,7735.910608640257,-3872.6153740267555,-3353.8339739910016,-267.99585229140484,-3954.6753974936055,-3903.8804003138916,-996.3635899639835,-4086.842156269059,-3939.393051277625,-4179.416932175956,-2395.3332638446195,-337.25768485160006
3022,4704.822735818907,4704.822735818909,726.1191826105551,-2988.9469416790853,15556.813996091458,-3588.459714096195,6616.814792860048,1395.4401476619996,8132.478469945152,-4055.2911539472593,-3647.8030627623575,-2877.2343118615045,-4092.485670095568,-4006.8605246946236,-2646.3349843959745,-348.7062355402895,-4175.543990096341
3229,4704.822735818907,4704.822735818909,-2030.42803008083,18770.86194954992,-3372.39566912227,-3378.8842134527854,-3477.484051838191,-3889.9925884987438,7820.309253654247,-2899.1978101650266,-4037.2328581510965,1447.1394730525562,9329.819022207033,-4070.3594420178774,-2090.1011723205315,-3966.007611999869,-4156.046250816522
3435,4704.822735818907,4704.822735818909,12217.056275268062,-654.3158968729517,17696.641882625416,-3478.1885625175705,-4131.1078341238235,-4098.803651688716,-4079.2438891632246,-3526.4088403019177,-1835.1621507344476,-3152.236087730032,-3940.5172735459755,-3789.5709289370525,274.60903538276943,5539.211741182513,-3041.9638188430436
