Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
207,1114.0869808825094,10560.161188254795,660.1517497719491,1982.5947243203382,2945.64054575813,1941.1846057039243,15196.713957625341,4605.764105812267,13124.441695657351,2426.519358070544,763.9873445220395,12576.872713863859,797.6942149426036,1442.7930436362699,672.1124937432087
414,7779.453297874431,7091.187361007211,1910.0753952500909,10562.207036441127,1364.826409596032,14990.580414982192,13865.42261366271,1621.738104268114,1078.202552764969,1703.8960892350105,1505.4450605697273,1092.1675958524984,1202.7170814548854,762.0406019890224,4280.759107617109
621,1753.819870578252,8624.608866562712,3754.752783835651,12037.309376221274,2177.2725740808582,814.7213738150576,2361.5689014569753,2970.8280366674367,5148.362365974104,584.8486674989721,1570.9540491542955,14752.813515294834,12736.97023603369,712.8425004570113,809.0456049340062
827,3222.9232003660272,11595.07451619973,6698.48307413094,15685.634288684721,6393.670465844188,871.0068480380232,884.3297177554111,2794.22530750641,12498.423876175106,536.2285808180175,1122.8352476133448,882.8577348550539,2375.273960162085,3018.431048901475,2231.320855514593
1034,2328.926775724187,10442.674619419256,4673.709976489544,778.610188047007,1418.2946334537232,9931.284334452177,2669.5149691623387,8042.196641279271,6058.932747519,640.6856007711298,15798.960848880508,1235.8685108278416,3409.4736531470567,544.4094453227461,2837.1757780693356
1241,696.7994303754954,10830.124136044866,2155.257397481278,2872.2676211616713,3422.8220119164243,14830.221010769761,8806.080323266893,616.933945947993,2855.112472942967,9442.48361105985,4545.792425595523,1164.4000496035242,575.5085617977251,4469.880293794722,3527.035430806434
1447,4749.351908330931,3741.8723227322703,4329.122556963573,1070.5749754508777,1319.9729296486673,3360.4118375317826,5605.328757607415,14057.10653975279,1061.9629992552352,734.0802721580045,10479.459423276341,7497.980534511119,622.4781402977919,9341.52301332353,2839.4925117247903
1654,4917.374736366577,5502.004853899727,13169.315599984975,717.7429522214887,10300.668607044394,2654.397288646832,4428.258429292522,1803.2984865275105,3240.148679682722,1236.1898401241351,3015.0944193779033,7151.533268094989,677.9527130150279,9158.55246460773,2838.1863836785933
1861,1479.757219539342,3518.131231435963,4917.374736366576,4326.94740831858,4276.162011416145,1470.5145205224237,4671.491027680859,3967.165108375994,645.0757335881846,10158.580054061924,12291.69707589218,6794.243112999376,673.2754612388384,8793.512112695773,2826.7919084329765
2067,3696.364392473558,1033.4691108262018,3557.301346313764,4946.494942930835,6161.383226185462,4266.266139549618,4552.494439194125,2395.4798878881556,11621.276244676834,628.3323369715608,9430.859279234572,6094.221857699388,887.2199829203892,8531.360015220891,3008.195520479772
2274,4413.145617676352,5653.954916718326,3579.1983852635212,1688.0240305873247,2172.826453093513,2849.6254281788606,8039.842798022337,2597.225236757807,8874.476990690318,2616.3828811248954,5327.301540652337,12047.512338635373,5867.757542135838,4461.06994089908,622.3746221292446
2481,3103.8956419943293,2524.444816428295,3235.6881871863698,7885.81055038773,7321.961515368023,2277.509235469147,3719.571001707056,11555.009175836145,1683.9072242875498,8634.25293955705,744.079387686306,3488.110266220072,2023.4741096407188,8973.621414743047,3639.38325605329
2687,3235.8156225928165,8169.245018153364,11619.411421716191,7972.983892122995,3470.031485609232,2671.392577572378,2846.000062187035,8054.192207337679,2689.945035208723,1805.2509104205276,2385.3676791119137,4685.7132124703185,6142.62801621751,641.1478459967302,4421.593735847712
2894,8410.108658375679,3429.359410977032,2414.1935908650826,9922.140064318846,3085.5996743319783,8296.021089261694,4115.133301256663,692.2394178050763,2034.913639259229,2781.0839776142575,7704.038927289459,8532.279698792856,1403.9859005999847,5211.41211992057,2778.2092518967224
3101,8996.37948584063,8529.616670471314,3456.1490225909492,2324.9048262719516,9291.718589414751,3016.961855275083,8309.258678176608,4746.05136295244,687.5424390471419,1696.6976871801808,3093.354543129928,7323.713871155027,2892.852885434786,1342.9002058791325,5102.616599745205
3307,4523.246621514225,4471.6550564201925,8529.616670471314,8350.256231652995,2449.9764808290784,9043.26007573449,9115.493004698481,2324.8636776056,1634.372074492498,3456.1490225909492,5073.505905950198,2612.821128342634,4709.627192470015,587.9104479585138,3927.9651318339425
3514,8487.359478928098,8536.73275551136,3413.9710011978445,5264.188074330558,8359.869602452229,4147.379689132353,2241.1706270221425,1500.1232424136722,9530.968679735866,4555.379330124556,3693.015195963807,2287.3731174978157,2547.086329579709,5070.233374920388,1175.8682237547273
3721,8397.701764272635,3279.3465936381203,2634.943506033895,5308.492635022374,2304.688101836287,5688.662380779834,8359.869602452229,3786.7131631737593,3042.9215059670905,9498.867265510607,2982.0434259919443,8452.503916728396,2261.441146484718,1441.1317307340219,3371.3919839392142
3927,8397.701764272635,3003.6620071580132,2667.6899234102284,6129.462899874555,5549.920234547486,8359.869602452229,3783.8968723845055,3224.1583425961853,8438.138399474325,3371.3919839392142,2176.14260462112,2503.6110388060097,1267.4016723778093,2596.7079822237893,9340.963394427023
4134,8397.701764272635,8700.32261833694,8351.398176014134,3371.391983939214,1338.8989731885126,6487.381157062318,2357.2406752326624,3475.0734929098708,1647.9414246747128,5660.183695791268,8359.869602452229,2858.1946772501756,2231.22922954444,4005.899898045689,3567.9913538503233
4341,6336.872892714734,8397.701764272635,3371.3919839392142,8339.21275597669,1502.3421902780735,5974.963147560595,2091.212168622019,3814.5139671060697,3542.068600093131,5728.91585216119,8359.869602452229,2961.311904926957,2413.745393581489,4186.251088728262,3790.345410151836
4547,5622.8346585446025,4106.9807916326845,8397.701764272635,3371.3919839392142,8223.332199216466,1731.739319074474,4347.332360027829,2162.916146218404,3996.6868642085806,5675.556007278153,8359.869602452229,3018.104150966109,3603.001998210737,4153.769929257056,4039.500947265953
4754,8469.398902204495,3464.437990299471,8175.97907549754,5068.4530154690165,5795.623485972336,8359.869602452229,3959.173543289927,4035.9713896773264,2899.1014902534507,4144.464943270993,4090.936673049069,3978.013240614369,4656.568316908263,1885.6564208993516,1827.0706327072894
