Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
1,4704.822735818907,4704.822735818908,4482.039350722656,-468.618052663106,894.1784288508152,1555.4844377608451,-1716.5360177620155,-189.95749423917368,-3560.668159904578,-3385.8898299980647,391.81787614212953,-1484.2764229136842,-1552.9843351284212,-2689.84680238925,-1219.5177911953651,3597.4878898382904,5347.286922878922
130,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
259,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
388,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
517,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
647,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
776,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
905,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
1034,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
1163,4704.822735818907,4704.822735818908,-353.1648368534252,4461.923084777557,546.1865712660456,1555.4844377608442,-1377.6341700582084,-265.1373951374526,-3228.1653035672025,-2632.7016583856325,-875.5407027704482,-1576.2508052100193,-778.3745947730245,3539.823813078857,-2565.96857604736,-1091.138912083431,4640.659048002885
