Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7
inf,12303.048389679036,35151.99119437252,inf,inf,10996.33097619024,inf,inf
inf,9537.322036149713,inf,inf,inf,5176.144566393397,inf,inf
inf,7203.6462020832,inf,inf,inf,5450.882373221035,inf,inf
inf,6533.244907649587,inf,inf,inf,5359.507551007713,inf,inf
inf,8135.384183191927,inf,inf,inf,5867.467934017663,inf,inf
inf,9034.216651975828,inf,inf,inf,inf,inf,242704.4192732277
6101.358044359825,10007.543516938871,inf,inf,inf,inf,inf,5466.054958760184
8752.46129116679,3998.789860075154,inf,inf,inf,inf,inf,inf
8940.046394795812,inf,inf,inf,27640.427018185674,inf,inf,inf
6215.920441548372,inf,inf,inf,14699.370347497832,inf,8793.585360339603,inf
5235.361921130627,inf,inf,inf,11489.255968582267,inf,11725.355104019096,inf
4869.3202560910695,inf,inf,inf,9028.401616474877,inf,inf,inf
6454.070122566928,inf,inf,inf,6832.681157295222,inf,inf,inf
7568.815949758027,inf,inf,inf,8679.331099734223,inf,inf,inf
7065.259469087418,inf,inf,inf,inf,inf,inf,inf
5393.194146721822,3826.4091409742737,inf,inf,inf,inf,inf,inf
inf,5757.396895809898,41438.810393429376,inf,inf,inf,inf,inf
inf,6258.008434159625,13641.202867913633,inf,inf,5348.85667758999,inf,inf
inf,4746.825958070298,17591.370471779344,inf,inf,5931.603567244143,inf,inf
inf,4335.277420342215,inf,inf,inf,4851.563216121965,inf,inf
