Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14,Region15,Region16,Region17,Region18,Region19,Region20,Region21,Region22,Region23,Region24,Region25,Region26,Region27,Region28,Region29
inf,2658.765932359239,inf,884.0770247544008,1789.7792357260203,inf,inf,861.2989350089964,968.8430212276708,1322.5067545305524,3603.241273355938,2314.821909117963,inf,1562.7118383628947,1146.1608306069977,inf,1601.5632330564224,3690.376153602867,inf,742.0548702831024,1826.5670038926378,1999.883118235908,inf,3337.50910771824,inf,inf,1697.441476346229,16498.62858588091,1883.160425906358,inf
265808.5245812023,2085.1449412256234,inf,1440.9095262224491,1602.7317342602348,inf,inf,1441.147149779233,1549.3080813284812,1565.903302366808,1299.1719882813807,1398.5858927432134,inf,1458.2424080642552,18778.449557068227,49967.299293129654,1591.5347378516215,2338.7563661417516,inf,1444.0996691681978,1811.186610861666,1788.528658574346,inf,1699.2251817135518,inf,inf,1945.2352058473534,13275.03532670825,1891.6764303857835,inf
10310.08266923654,1829.8456364509184,inf,1417.4339180892225,1775.237340067782,inf,inf,1374.1677939378822,1909.5009060175043,2012.0438480817159,1537.5815896840008,1477.6735995024765,23084.653604765088,1515.5778892289197,inf,6877.507732322583,1577.2152873248963,3034.660136787573,inf,1457.0361669176468,2043.2251226705225,1675.8637842770704,inf,1631.563850270671,inf,2935.5775887684904,8302.563348122378,5105.435548028784,2366.5358347457136,inf
13117.392029417377,1567.3977388290218,inf,1725.5597671167745,1809.5769371032402,inf,inf,1821.3192525442937,1798.4461461036226,2741.231612597525,1993.4993680399812,1239.6758174562528,4130.579439084044,1373.3728365025452,inf,2739.761747171909,1966.9033220778433,inf,inf,1780.4693623994604,1786.905750303314,1629.0214612853504,inf,2181.9488558795956,inf,2293.047693327185,16770.19955035968,3481.7732134375838,5804.461760472481,inf
inf,1527.8956738257193,inf,2233.8218518415565,1602.9562692496324,inf,inf,2439.049958294021,1637.2973609713963,3504.092247396797,1861.6916940588844,1590.2306138170786,2059.9901236700866,1559.7084352094141,inf,1916.5372316401636,2259.3976084462065,inf,19408.238159965756,2047.2024336077184,1454.209545120007,1403.8823528250982,inf,2595.7103739279773,inf,2659.2469454752745,inf,2752.8204152986573,18545.678400477158,inf
inf,2024.075515128826,inf,2078.215946134543,1639.8679992907005,inf,inf,2938.784494116479,4670.502896362986,3355.899211349514,2099.9138105420543,1925.6671196682971,1751.1798293516897,1568.8668745420423,inf,2826.599500268783,2210.836008983542,inf,5620.60521732421,1986.3706786022447,1461.5290564381396,1420.7819146041002,inf,5706.42518654449,inf,2237.4928571370765,inf,1937.5747602698798,inf,inf
inf,3386.2568592839953,5640.4762879058335,2041.0560056374716,1400.8754544583671,inf,inf,2375.6257711969006,inf,3196.525856898758,3106.0560617522738,2050.6624648946045,1786.2051633638166,1596.4615619378283,inf,3818.2479605795247,2088.1001282676243,inf,3477.2109763848985,1559.1240759524976,1890.2057530351879,1889.586708395789,inf,inf,4983.316628767245,1956.2597834639607,inf,2627.740106911624,inf,5538.511935144017
inf,3974.792576628277,3555.4365300656623,1997.991296341184,1678.9174776560476,inf,inf,2045.9739984775938,inf,2757.6331941732474,5781.373331845769,2970.281011474538,3145.742412848257,1645.6399047850084,inf,3245.0632088513476,2640.38083513466,inf,1997.359751946339,1533.2202529996641,1843.2981714115824,2265.0911566988,inf,inf,3439.2936934435056,3713.4047867758986,inf,2980.145619887298,inf,3854.7116099214336
inf,3957.315448446623,4344.617561014073,2441.3450176781857,2394.6774484658954,inf,inf,2035.590300481649,inf,2954.784571752233,inf,3108.4396323844767,3639.620096710976,1874.514675251513,inf,2920.383487038978,4375.8178516413245,inf,1656.0386558691139,1317.3143258143896,1560.2153369653122,2943.2996496153805,inf,inf,3071.4880478511845,6405.474731803414,inf,2886.592181860967,inf,3574.265665019204
inf,inf,3873.5933933864376,4145.69897732468,2897.028585776956,inf,inf,1766.6530334416932,inf,4129.078472144439,inf,3023.156327158935,3209.664085806741,2122.888811338453,inf,3023.519768299635,inf,inf,1773.692032637118,1500.7471258042708,1554.8644706521277,2771.0913677298545,inf,inf,3954.167337659763,inf,inf,2698.813584337507,inf,3443.2099220755836
inf,inf,3441.7359841799444,4548.332406012442,2936.516180089341,inf,inf,1646.0342350429323,inf,3973.2447904117016,inf,4016.649292728785,4218.034543379325,2286.8874757539634,inf,inf,inf,inf,1852.8002758620523,1552.5659457792503,1522.2631095711386,2706.0371625642065,5061.7965759147,inf,4619.913381042948,inf,inf,2678.4481713877435,inf,3182.329158925212
inf,inf,6147.952203261982,3667.550397040104,2210.6822842667493,inf,inf,1547.7569499650835,inf,3694.0353255914197,inf,3987.608135353944,4972.238809232988,3136.888020737724,inf,inf,inf,18498.733525955206,1939.1951395151766,1674.9580930658499,1533.0581402659586,2266.900168594191,3129.941849220573,inf,4266.97333575042,inf,2740.5653805317124,2562.733711093673,inf,3169.5024791134215
inf,inf,10325.044664623572,2761.4113649257765,1736.5144313438207,inf,inf,1424.3711096096858,inf,2874.3150880514313,inf,2837.687349174066,5205.440224980723,3926.697056352318,inf,inf,inf,40337.83760672636,2370.050405570949,2414.3480332342187,1774.449640850775,1698.0245689792127,4737.667524895625,inf,547876.1698170173,inf,2154.410883375076,2343.366005782371,inf,3380.3849422049125
inf,4552.732444383681,7967.595917929725,2713.909412936494,1491.3258910042327,inf,inf,1961.2605602899457,inf,2187.4741600327416,inf,3239.705383683753,4590.823432492414,4155.548639494864,inf,inf,inf,inf,3263.353555783772,2346.2103666920802,2591.194652996189,1397.2074672137749,inf,inf,inf,inf,2383.202278660215,2337.255310309083,inf,3492.4173727911884
2168.2608718497986,inf,4047.0727918781013,3344.3882491801396,1651.9917511006793,inf,inf,2363.067062896091,13031.175165519158,1838.0077597228608,2081.955552821028,3908.096983193705,2602.9484139076803,4961.1362000257,inf,inf,inf,inf,inf,2139.7982216087285,2879.873216082602,1281.0617637362645,inf,49467.9124193529,3297.849795972072,inf,2264.867377831826,2984.196823802204,inf,3088.021008310119
2437.870506917617,inf,3142.19896415842,4242.466250467213,3071.6660504361553,inf,inf,2459.4556803148894,3470.4374066212613,1920.6573635423836,3203.829808259175,3297.66566148027,inf,4627.67065338772,inf,inf,11290.478692305292,inf,inf,1600.3894670168697,1549.6332953956967,2150.383118124283,inf,18700.39021991442,2387.6062865690024,inf,1208.1153318264767,3061.2814198645015,inf,5120.979487651337
inf,4596.747312421774,3869.3963722426215,4071.12207203544,3204.6905574306365,inf,inf,1947.7062295148248,1890.8311034113158,2231.74503947974,3544.487144603864,1852.3352140974903,inf,4783.398383690306,inf,inf,6257.631646799344,inf,inf,11415.385353113998,1571.2149019125827,3213.9620341071595,inf,4239.193531063167,2986.399985797816,inf,2171.81532879776,4627.054277879356,inf,7408.1854075158135
inf,3491.1553936856044,4015.1110738016378,2569.885404574326,2509.508381145774,inf,inf,2537.4053352849246,2272.258729353757,1637.8283243653364,2840.8742886720015,2431.1979293027125,inf,inf,inf,inf,67876.82247177088,inf,inf,inf,1641.2279284958283,2875.078062834899,inf,3312.599368022125,3882.2510127018086,inf,inf,5487.238840690472,inf,3599.218395296173
inf,4565.090371440786,4207.662964708004,1750.4084623176618,2247.5518963200702,inf,inf,3093.3171654117973,3956.371645428985,1446.9762342458823,2227.018851988035,3198.3294711057038,inf,inf,inf,inf,inf,inf,inf,inf,1840.8894824462934,2552.723812572781,3355.150389576184,3766.5359333447645,3488.925355061771,inf,inf,5060.706887940254,inf,2635.6655856871967
inf,4514.988632884631,3845.0083767110905,1789.7744723624867,2430.3409288893226,inf,inf,3423.5584710186913,inf,1835.8032313689855,2730.8765465447586,3120.6429288256313,inf,inf,3595.1400494065024,inf,inf,inf,inf,inf,2233.900230530063,1915.3017364510558,2398.317150828913,3963.099213960506,4039.225147542746,2252.4317410306467,inf,3967.546756097759,inf,4597.10975623346
inf,3284.928306866146,3356.5221188412315,2038.4855417738659,2833.489619964392,inf,4816.956585430242,2840.40971665701,inf,2563.296094210723,3705.176797155345,2351.077823809137,15021.662389365974,7533.029368583013,1912.5702004016193,inf,inf,inf,inf,inf,3146.25656320098,1491.9559526817309,2200.8216989548328,4934.463545172387,4215.635978997446,1318.1584603565946,41288.065875314685,2944.8389815188993,inf,inf
inf,1521.7225918123831,2863.9796050974205,1607.761733646543,3523.335325217836,inf,1813.9459463780622,2718.1899141012314,inf,2892.3019930718547,3443.4635558048562,1874.202759113924,3721.418102696294,3416.0264651765974,1900.006558386365,45267.84788896043,inf,inf,inf,inf,4006.0688190027313,2009.9037590790892,4258.746209693386,11757.549858568764,5047.30012588106,1560.205624017628,3568.2724496729784,1842.9045899241867,inf,inf
13695.639566226024,1311.9592280043137,2257.7392580377764,2186.6258793959123,3384.1180652105395,inf,2411.6297575079398,1713.7108673103903,inf,3778.956972655822,3070.5123259002503,2149.173424768032,1663.8038764093758,3909.237727075112,1421.9089449926812,90934.69219716593,2125.373474031666,inf,inf,inf,2341.6081670252406,1993.6604547506327,inf,inf,7505.070566138701,2763.322470903232,2307.4017539472243,1745.5021824583714,inf,inf
